"arrival_date","destination_region","destination_city","length_of_stay","has_meal","purpose_trip","sell_price","user_id"
"2019-04-01","International","Prague","1","1","leasure","13956","13879"
"2019-04-12","International","Iru Fushi","4","1","business","249652","34483"
"2019-02-14","Russia","Kostroma","5","0","business","12647","19613"
"2019-02-18","International","Budapest","3","1","business","84109","22760"
"2019-02-28","Russia","Sochi","1","1","business","3987","17577"
"2019-02-14","Russia","Moscow","1","1","business","5358","7880"
"2019-05-03","Southern Europe","Genoa","5","1","business","18988","6701"
"2019-04-16","International","Heviz","3","1","business","33357","5827"
"2019-08-10","Southern Europe","Portimao","7","1","leasure","153922","33875"
"2019-03-04","International","Hyderabad","4","1","business","56488","6030"
"2019-02-14","Russia","Krasnoyarsk","2","1","business","7275","15284"
"2019-02-19","Russia","Ryazan","1","1","business","3023","14684"
"2019-02-16","Arabia","Beirut","4","1","business","10050","23995"
"2019-02-14","Russia","Voronezh","1","1","business","2767","5952"
"2019-02-15","International","Istanbul","2","1","leasure","21437","20912"
"2019-06-05","Western Europe","Nice","7","1","leasure","66936","6152"
"2019-02-18","Russia","Yekaterinburg","1","1","business","3196","5782"
"2019-05-04","Russia","Krasnodar","1","1","leasure","2788","16312"
"2019-02-18","Russia","Moscow","3","1","business","12284","7516"
"2019-02-20","International","Tbilisi","2","1","business","30835","19543"
"2019-03-05","International","Prague","10","0","leasure","30238","16199"
"2019-02-22","International","Prague","7","1","leasure","35875","14684"
"2019-02-16","Western Europe","Strasbourg","3","0","business","26859","23336"
"2019-05-25","Western Europe","Vienna","3","1","business","25727","18189"
"2019-03-05","International","Prague","2","1","business","16724","25148"
"2019-02-18","Russia","Irkutsk","4","1","business","12641","17070"
"2019-02-17","Arabia","Abu Dhabi","2","1","business","158567","6854"
"2019-02-18","Southern Europe","Rome","2","1","business","17641","27921"
"2019-03-01","International","Prague","4","1","business","27754","6205"
"2019-02-19","Western Europe","Paris","5","1","leasure","55308","24815"
"2019-02-17","International","Atlanta","5","1","business","40942","16516"
"2019-02-15","International","Warsaw","1","1","leasure","49286","32303"
"2019-03-28","Russia","Moscow","2","1","business","27633","6651"
"2019-04-05","International","Osaka","2","1","leasure","59560","17517"
"2019-08-23","Western Europe","Magny-le-Hongre","4","1","leasure","50899","18816"
"2019-02-18","Russia","Moscow","1","1","business","5582","7516"
"2019-02-25","International","Frederikshavn","4","1","business","84510","20538"
"2019-02-21","Western Europe","Paris","9","1","leasure","112692","11077"
"2019-03-21","Russia","Moscow","2","1","business","17653","14684"
"2019-02-18","Russia","Saint Petersburg","5","1","business","11374","11539"
"2019-02-19","International","Sofia","1","1","business","5269","36102"
"2019-03-16","Russia","Saint Petersburg","7","1","leasure","14877","10130"
"2019-02-20","Arabia","Dubai","7","1","leasure","196383","19079"
"2019-02-14","Russia","Krasnodar","1","1","business","1502","23082"
"2019-04-09","Western Europe","Frankfurt","3","1","business","14979","34638"
"2019-04-18","Southern Europe","Athens","3","1","leasure","8694","22369"
"2019-06-10","Southern Europe","Kassandra","21","1","leasure","65466","15414"
"2019-03-09","International","Puerto Plata","1","1","leasure","10114","25119"
"2019-03-07","Western Europe","Hanover","8","0","leasure","43870","27129"
"2019-05-04","CIS","Minsk","1","0","leasure","5547","9607"
"2019-03-10","Western Europe","Berlin","5","0","business","25588","19344"
"2019-02-20","International","Riga","3","1","business","10074","8030"
"2019-03-08","International","Beijing","1","1","business","7555","32561"
"2019-03-29","International","Istanbul","2","1","leasure","7187","18636"
"2019-02-19","International","Shenzhen","9","1","leasure","62252","26582"
"2019-02-28","Southern Europe","Madrid","3","1","leasure","30753","10189"
"2019-03-16","Southern Europe","San Giljan","7","1","leasure","34759","28215"
"2019-03-03","Western Europe","Dresden","3","1","business","16870","6146"
"2019-03-17","Western Europe","Vieille-Toulouse","7","0","leasure","33965","19560"
"2019-03-07","International","Prague","1","1","business","3647","6146"
"2019-03-13","CIS","Yerevan","4","1","business","12415","20447"
"2019-03-24","International","Winnipeg","1","0","business","10402","18889"
"2019-04-27","International","Washington","1","0","leasure","9001","19184"
"2019-02-16","Russia","Khimki","1","1","leasure","4458","24008"
"2019-03-30","International","Bali","2","1","leasure","24506","31582"
"2019-05-01","Western Europe","Hulshorst","2","1","business","17985","23762"
"2019-03-05","Southern Europe","Granada","1","1","leasure","13427","33345"
"2019-02-20","International","Los Angeles","2","0","business","35634","18744"
"2019-02-24","International","Taipei","2","1","business","14599","21325"
"2019-02-27","Western Europe","Karlsruhe","1","1","business","6648","18929"
"2019-02-18","Russia","Ufa","3","1","business","9491","7516"
"2019-02-27","Russia","Cheboksary","2","1","business","4872","7516"
"2019-03-08","International","Bali","3","1","leasure","60536","32975"
"2019-02-16","International","Port Harcourt","3","1","business","37144","5793"
"2019-02-27","International","Stockholm","1","1","business","13030","20451"
"2019-03-22","Western Europe","Vienna","2","0","leasure","9503","19560"
"2019-02-27","International","Tarzana","3","0","business","81170","19839"
"2019-05-29","International","Riga","1","1","business","10553","21459"
"2019-02-27","Western Europe","London","3","0","business","33900","14684"
"2019-02-25","International","Ulaanbaatar","4","1","business","28476","10584"
"2019-02-19","Russia","Kazan","3","1","business","6361","16785"
"2019-02-25","Southern Europe","Rome","5","1","business","19238","32808"
"2019-02-15","Russia","Moscow","3","1","leasure","9245","6402"
"2019-02-16","Southern Europe","Val di Fassa","10","0","leasure","178436","32296"
"2019-02-21","Russia","Krasnodar","1","1","business","4287","12751"
"2019-02-17","International","Sofia","5","1","business","37248","10663"
"2019-03-23","International","Kuala Lumpur","6","1","leasure","69733","20538"
"2019-03-06","Russia","Murmansk","1","1","business","4323","14684"
"2019-02-21","Western Europe","Ghent","1","1","business","6523","26990"
"2019-02-18","International","Lusaka","4","0","business","36476","23403"
"2019-03-07","Western Europe","London","4","1","leasure","229149","12522"
"2019-03-23","Western Europe","London","3","1","business","34529","33068"
"2019-04-14","Southern Europe","Rome","4","1","business","19689","18233"
"2019-03-09","Southern Europe","Pinto","28","0","leasure","86048","24435"
"2019-02-16","International","Cochin","1","1","leasure","7365","12759"
"2019-03-19","International","Bangkok","3","0","business","12219","18889"
"2019-03-05","CIS","Kyiv","1","1","business","9338","23403"
"2019-03-05","International","Sunnyvale","1","1","business","11601","19022"
"2019-02-26","Arabia","Dubai","5","1","leasure","83303","32561"
"2019-02-23","Western Europe","Paris","1","1","leasure","14754","18862"
"2019-02-24","Russia","Moscow","4","1","business","16805","5895"
"2019-02-28","Western Europe","London","1","1","business","7100","14684"
"2019-02-19","Southern Europe","Madrid","3","1","business","19538","22824"
"2019-02-25","Western Europe","Nuremberg","2","1","business","28590","33129"
"2019-04-19","Russia","Moscow","3","1","leasure","12021","21568"
"2019-02-18","International","Vilnius","1","1","business","4755","18929"
"2019-02-19","Russia","Krasnodar","3","1","business","9510","17027"
"2019-03-28","International","Tel Aviv","4","1","leasure","42441","24435"
"2019-03-10","International","Guangzhou","3","1","business","14031","14262"
"2019-06-28","Southern Europe","Palma de Mallorca","18","1","leasure","277720","6763"
"2019-08-29","International","Playa del Carmen","3","1","leasure","27890","24993"
"2019-07-06","Russia","Yalta","2","1","leasure","12281","24864"
