"arrival_date","destination_region","destination_city","length_of_stay","has_meal","purpose_trip","sell_price","user_id","partner_geo"
"2019-07-06","International","Kundu","9","1","leasure","561135","16998","Arabia"
"2019-09-09","International","Jeju","4","1","business","10549","32296","Russia"
"2019-04-17","Russia","Arkhangelsk","1","1","business","3344","30401","Russia"
"2019-07-17","Western Europe","Paris","4","1","leasure","98563","33014","International"
"2019-04-22","Southern Europe","Zagreb","2","1","business","19249","32221","Balkans"
"2019-04-20","International","Shenzhen","3","1","business","18324","6690","Russia"
"2019-06-24","CIS","Baku","4","1","business","23896","6480","Russia"
"2019-08-27","Southern Europe","Bologna","4","1","business","14092","19043","Baltic States"
"2019-04-20","Western Europe","Berlin","4","0","business","19104","29356","Southern Europe"
"2019-05-24","Southern Europe","Naples","1","1","business","17519","29356","Southern Europe"
"2019-05-01","Southern Europe","Rome","1","1","leasure","4144","29356","Southern Europe"
"2019-05-08","Western Europe","London","1","1","business","9444","29356","Southern Europe"
"2019-08-05","Western Europe","Luton","3","1","business","12422","29356","Southern Europe"
"2019-07-01","International","Los Angeles","10","1","leasure","223429","8553","Russia"
"2019-04-23","Russia","Nizhniy Novgorod","1","1","business","3786","28079","Russia"
"2019-05-21","Southern Europe","Nicosia","2","1","business","10750","35805","Balkans"
"2019-06-02","International","Tallinn","1","0","business","3777","18390","Baltic States"
"2019-04-18","Southern Europe","Salou","4","1","leasure","23335","16170","International"
"2019-04-16","Russia","Nizhniy Novgorod","2","1","business","5638","14546","Russia"
"2019-04-16","Russia","Moscow","3","0","business","11209","6871","Russia"
"2019-04-17","Russia","Kemerovo","3","1","business","8309","16785","Russia"
"2019-04-21","Arabia","Doha","4","1","business","56193","34410","International"
"2019-05-20","Western Europe","Paris","6","1","leasure","125617","21306","CIS"
"2019-05-11","International","Gdansk","1","0","leasure","2690","34628","International"
"2019-06-30","International","Seogwipo","7","0","leasure","20570","28416","Russia"
"2019-04-19","Russia","Krasnaya Polyana","2","1","leasure","7445","11539","Russia"
"2019-07-21","Western Europe","Vienna","4","1","business","20776","18422","International"
"2019-04-23","CIS","Tashkent","3","1","business","102661","6903","Russia"
"2019-05-23","Russia","Irkutsk","1","0","business","1816","5938","Russia"
"2019-05-15","Western Europe","Paris","4","1","business","69810","11539","Russia"
"2019-04-17","Russia","Nizhniy Novgorod","1","1","business","2300","14546","Russia"
"2019-05-14","International","Shenzhen","4","0","business","7704","7723","Russia"
"2019-04-24","Arabia","Dubai","2","1","business","6364","15679","CIS"
"2019-07-18","Russia","Vologda","1","0","leasure","1911","7626","Russia"
"2019-04-18","Russia","Yekaterinburg","1","1","business","4575","7516","Russia"
"2019-04-17","Russia","Ryazan","1","1","business","3056","7516","Russia"
"2019-04-16","Russia","Smolensk","1","1","business","3646","9954","Russia"
"2019-04-17","Russia","Salekhard","1","1","business","5089","21468","Russia"
"2019-04-16","Russia","Saint Petersburg","1","1","business","6895","17618","Russia"
"2019-04-16","International","Fortaleza","1","1","business","5860","6261","Russia"
"2019-04-17","Russia","Moscow","1","1","business","9714","5892","Russia"
"2019-04-18","Western Europe","Paris","3","1","leasure","75423","24423","International"
"2019-04-24","Russia","Moscow","1","1","business","4422","16741","Russia"
"2019-05-19","Western Europe","Kassel","5","1","business","71241","20538","Baltic States"
"2019-04-17","International","Warsaw","1","1","business","10324","20538","Baltic States"
"2019-04-16","Russia","Kazan","1","1","business","4535","5817","Russia"
"2019-05-21","Russia","Krasnodar","1","1","business","2415","7013","Russia"
"2019-05-12","International","Yongin","11","1","leasure","92547","18458","International"
"2019-05-06","Russia","Sochi","4","1","business","17613","13729","Russia"
"2019-04-16","Russia","Moscow","1","1","business","5214","13729","Russia"
"2019-04-18","Russia","Moscow","1","1","business","11605","13729","Russia"
"2019-10-30","International","Seoul","3","0","business","17086","33376","International"
"2019-04-16","CIS","Yerevan","1","1","business","8569","37401","Russia"
"2019-04-22","Russia","Moscow","5","1","business","26372","16100","Russia"
"2019-04-16","Russia","Astrakhan","3","1","business","5376","16311","Russia"
"2019-06-02","International","Bal Harbour","4","0","business","42129","8098","Russia"
"2019-04-18","Southern Europe","Belgrade","5","1","leasure","34156","21767","Western Europe"
"2019-04-29","International","Osaka","4","0","leasure","106567","7749","Russia"
"2019-05-02","International","Chicago","3","1","leasure","66488","15755","Russia"
"2019-05-02","International","Chicago","3","1","leasure","64709","15755","Russia"
"2019-05-03","Western Europe","Berlin","4","1","business","18242","11077","CIS"
"2019-05-10","Southern Europe","Madrid","4","0","business","105728","29885","CIS"
"2019-05-30","International","Helsinki","2","1","business","24123","27087","Russia"
"2019-04-17","Russia","Ufa","2","1","business","4521","20118","Russia"
"2019-04-18","Russia","Saratov","1","1","business","2819","10552","Russia"
"2019-04-22","Russia","Sochi","4","1","business","19886","6868","Russia"
"2019-04-30","CIS","Baku","5","1","business","11630","28753","CIS"
"2019-05-08","Russia","Moscow","3","1","leasure","55321","5895","Russia"
"2019-04-29","International","Istanbul","5","1","business","58378","6323","Russia"
